type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
Movie;"""Ariana grande: excuse me, i love you""";Paul Dugdale;Ariana Grande;United States;"""December 21, 2020""";2020;TV-MA;98 min;"""Documentaries, Music & Musicals""";Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.
TV Show;The Great British Baking Show;Andy Devonshire;"""Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood""";United Kingdom;"""September 24, 2021""";2021;TV-14;9 Seasons;"""British TV Shows, Reality TV""";"""A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."""
Movie;"""Blue, Painful, Fragile""";Shunsuke Kariyama;"""Ryo Yoshizawa, Hana Sugisaki, Amane Okayama, Honoka Matsumoto, Hiroya Shimizu, Nana Mori, Mizuki Kayashima, Ken Mitsuishi, Tasuku Emoto""";Japan;"""February 24, 2021""";2020;TV-14;119 min;"""International Movies, Thrillers""";"""Kaede and Hisano form a club to change the world. When Hisano vanishes, Kaede throws himself into bringing the club back to its idealistic roots."""
TV Show;Dear White People;null;"""Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito""";United States;"""September 22, 2021""";2021;TV-MA;4 Seasons;"""TV Comedies, TV Dramas""";"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as \post-racial\"" as it thinks."""
TV Show;Sex Education;null;"""Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie""";United Kingdom;"""September 17, 2021""";2020;TV-MA;3 Seasons;"""British TV Shows, International TV Shows, TV Comedies""";"""Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."""
TV Show;He-Man and the Masters of the Universe;null;"""Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore""";United States;"""September 16, 2021""";2021;TV-Y7;1 Season;"""Kids' TV, TV Sci-Fi & Fantasy""";Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
Movie;40 Sticks;Victor Gatonye;"""Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi, Xavier Ywaya""";Kenya;"""November 20, 2020""";2019;TV-14;93 min;"""International Movies, Thrillers""";"""When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer."""
TV Show;Saved by the Bell;null;"""Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins""";United States;"""September 15, 2021""";1994;TV-PG;9 Seasons;"""Kids' TV, TV Comedies""";"""From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."""
TV Show;Jack Whitehall: Travels with My Father;null;"""Jack Whitehall, Michael Whitehall""";United Kingdom;"""September 14, 2021""";2021;TV-MA;5 Seasons;"""British TV Shows, Docuseries, International TV Shows""";"""Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."""
Movie;A Champion Heart;David de Vos;"""Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido""";United States;"""September 4, 2021""";2018;G;90 min;"""Children & Family Movies, Dramas""";"""When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."""
